Format Version,1.24,Take Name,Take 2025-12-05 04.42.50 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-12-05 04.42.51.191 PM,Capture Start Frame,1038231,Total Frames in Take,3273,Total Exported Frames,3273,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z
226,2.260000,-0.012707,0.004567,-0.972772,0.231370,-399.318573,1465.141113,110.903069
227,2.270000,-0.010649,0.002235,-0.975727,0.218719,-399.839691,1466.394165,110.738853
228,2.280000,-0.011011,0.002728,-0.978117,0.207745,-400.169403,1467.553345,110.730385
229,2.290000,-0.012142,0.004072,-0.980348,0.196859,-400.473358,1468.525024,110.836563
230,2.300000,-0.012011,0.004723,-0.982461,0.186022,-400.815979,1469.522583,110.934937
231,2.310000,-0.012499,0.004338,-0.984596,0.174343,-401.261688,1470.672363,110.944504
232,2.320000,-0.011347,0.002167,-0.986714,0.162058,-401.602722,1471.813721,110.892990
233,2.330000,-0.010509,0.002636,-0.988431,0.151287,-402.082977,1472.831665,110.861862
234,2.340000,-0.009879,0.002824,-0.990120,0.139847,-402.497070,1473.812134,110.808037
235,2.350000,-0.009726,0.003590,-0.991588,0.129021,-402.805969,1474.903809,110.768379
236,2.360000,-0.010318,0.001320,-0.993061,0.117139,-403.137085,1475.909912,110.803497
237,2.370000,-0.010024,0.001471,-0.994251,0.106596,-403.358765,1476.861328,110.816879
238,2.380000,-0.010293,0.001828,-0.995445,0.094766,-403.635468,1478.013428,110.890068
239,2.390000,-0.009091,-0.002731,-0.996557,0.082368,-403.677155,1479.176147,110.801743
240,2.400000,-0.009573,-0.003017,-0.997466,0.070439,-403.824066,1480.474854,110.990936
241,2.410000,-0.009268,0.000098,-0.998144,0.060183,-403.719147,1481.559814,110.888802
242,2.420000,-0.009388,-0.003205,-0.998812,0.047701,-403.722717,1482.756714,110.868492
243,2.430000,-0.010454,-0.004545,-0.999366,0.033743,-403.866699,1484.074097,110.998230
244,2.440000,-0.009165,-0.000933,-0.999673,0.023861,-403.650116,1485.046143,110.945496
245,2.450000,-0.009493,-0.003780,-0.999876,0.012020,-403.626373,1486.129761,111.009888
246,2.460000,-0.009366,-0.003487,-0.999950,0.000465,-403.659912,1487.303589,110.990501
247,2.470000,-0.002943,0.002203,-0.999978,-0.005498,-403.255310,1488.074341,110.584244
248,2.480000,-0.002140,0.002385,-0.999847,-0.017218,-403.278839,1489.212402,110.551895
249,2.490000,-0.001447,0.001079,-0.999546,-0.030083,-403.186615,1490.275635,110.426064
250,2.500000,-0.001472,0.003972,-0.999153,-0.040930,-403.134308,1491.455811,110.431129
251,2.510000,-0.000648,0.004249,-0.998669,-0.051406,-402.872223,1492.372803,110.318542
252,2.520000,-0.000775,0.003217,-0.997973,-0.063559,-402.747528,1493.430542,110.341309
