Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z,omegas.x,omegas.y,omegas.z,omega
149,1.49,-0.005418,-0.004522,-0.715006,0.699083,-13.949513,-570.860107,106.519997,0.1572544928304981,0.0322373129871335,-0.09202682908723281,0.18503285420664717
150,1.5,-0.005199,-0.004277,-0.714822,0.699275,-13.915645,-570.849121,106.519348,-0.004040994236304083,0.06554653439543572,0.05324985623973433,0.08454717615167436
151,1.51,-0.004989,-0.004533,-0.714627,0.699474,-13.92141,-570.819275,106.498398,0.06634207986829761,-0.005812885413917276,0.055275751368100146,0.08654750075764717
152,1.52,-0.005071,-0.004583,-0.714975,0.699117,-13.957163,-570.854431,106.499092,-0.0049968109694249405,-0.01869102952326493,-0.0996832265925729,0.10154343094661494
153,1.53,-0.004955,-0.004544,-0.714849,0.699247,-13.890322,-570.852417,106.47419,0.010890040416888878,0.02203188808155834,0.03614030475291852,0.04370490476312253
154,1.54,-0.005861,-0.003958,-0.714697,0.699399,-13.901869,-570.845886,106.493469,-0.21019493827372823,-0.04759135053741606,0.04439258524030487,0.22003988353521134
155,1.55,-0.005457,-0.004199,-0.714872,0.699222,-13.886195,-570.855103,106.506241,0.09061375396793919,0.024101488653663176,-0.05038150579474987,0.10644261500748319
156,1.56,-0.005272,-0.004418,-0.714631,0.699467,-13.918691,-570.829773,106.50547,0.057652402342875386,-0.004232936730022823,0.06833686058551613,0.08950778605210515
157,1.57,-0.005413,-0.004282,-0.71515,0.698937,-13.986506,-570.887024,106.511665,-0.04018037406416678,-0.0010481667494913194,-0.1480876522334751,0.15344547519393906
158,1.58,-0.005019,-0.004198,-0.715012,0.699081,-13.924071,-570.882996,106.478592,0.043335808219501726,0.06806990799194745,0.03964051173874772,0.08990480976554825
159,1.59,-0.005122,-0.004168,-0.714886,0.69921,-13.895955,-570.856873,106.460167,-0.018455865944814933,-0.010552934541769015,0.03618075368587714,0.041964632162023695
160,1.6,-0.004539,-0.004453,-0.714971,0.699125,-13.893202,-570.843262,106.44062,0.12211846090642349,0.043516956635704894,-0.02481757539064544,0.13199453040659628
161,1.61,-0.005945,-0.003906,-0.714392,0.69971,-13.937226,-570.78833,106.482384,-0.2737650102107121,-0.12457016410966307,0.16635900376752444,0.3437154706097805
